timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:26.475, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:26.477, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:26.736, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:26.737, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:26.961, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:26.962, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:27.202, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:27.203, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:27.445, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:27.446, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:27.671, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:27.672, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:27.895, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:27.896, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:28.120, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:28.121, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:28.366, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:28.368, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:28.618, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:28.619, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:28.846, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:28.847, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:29.075, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:29.076, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:29.320, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:29.321, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:29.557, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:29.558, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:29.782, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:29.784, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:30.007, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:30.008, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:30.247, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:30.248, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:30.556, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:30.558, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:30.808, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:30.809, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:31.038, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:31.039, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:31.273, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:31.275, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:31.494, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:31.495, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:31.724, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:31.726, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:31.943, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:31.944, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:32.148, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:32.149, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:32.445, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:32.447, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:32.691, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:32.692, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:32.936, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:32.937, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:33.182, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:33.183, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:33.407, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:33.409, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:33.638, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:33.639, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:33.868, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:33.869, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:34.095, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:34.096, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:34.331, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:34.333, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:34.627, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:34.628, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:34.873, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:34.875, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:35.084, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:35.085, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:35.302, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:35.304, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:35.539, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:35.540, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:35.767, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:35.768, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:36.005, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:36.006, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:36.236, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:36.237, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:36.478, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:36.480, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:36.719, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:36.720, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:36.946, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:36.947, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:37.178, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:37.179, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:37.409, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:37.410, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:37.626, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:37.627, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:37.871, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:37.872, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:38.101, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:38.102, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:38.331, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:38.332, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:38.557, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:38.558, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:38.791, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:38.792, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:39.020, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:39.021, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:39.242, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:39.243, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:39.477, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:39.478, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
